id,brewery_id,latitude,longitude,accuracy
1,1,30.2234,-97.7697,ROOFTOP
2,2,37.7825,-122.3930,ROOFTOP
3,3,50.7668,4.3081,RANGE_INTERPOLATED
4,4,59.7451,10.2135,APPROXIMATE
5,5,50.2606,4.9122,APPROXIMATE
6,6,50.3093,4.7646,GEOMETRIC_CENTER
7,7,50.1999,5.2277,RANGE_INTERPOLATED
8,8,41.2225,-77.0369,RANGE_INTERPOLATED
9,9,41.4392,-87.1078,RANGE_INTERPOLATED
10,10,30.5049,-89.9440,APPROXIMATE
11,11,52.3277,1.6802,APPROXIMATE
12,12,50.9699,4.1892,APPROXIMATE
13,13,49.7652,-97.1539,APPROXIMATE
14,14,41.2603,-96.0903,RANGE_INTERPOLATED
15,15,47.8781,10.6161,ROOFTOP
16,16,45.5484,-122.6190,ROOFTOP
17,17,58.3573,-134.4900,ROOFTOP
18,20,43.1257,-89.3253,RANGE_INTERPOLATED
19,21,32.8920,-117.1440,ROOFTOP
20,22,21.3069,-157.8580,APPROXIMATE
21,23,43.7028,-70.3166,RANGE_INTERPOLATED
22,24,43.7028,-70.3166,RANGE_INTERPOLATED
23,25,40.6016,-75.4740,RANGE_INTERPOLATED
24,26,47.7487,10.5694,ROOFTOP
25,26,47.7237,10.3141,ROOFTOP
26,28,38.0501,-84.5088,RANGE_INTERPOLATED
27,29,32.8355,-116.7650,RANGE_INTERPOLATED
28,30,48.3457,8.4031,ROOFTOP
29,31,50.9190,3.2632,RANGE_INTERPOLATED
30,32,41.7605,-88.3090,ROOFTOP
31,33,38.8966,-121.0770,APPROXIMATE
32,34,39.1551,-94.4820,RANGE_INTERPOLATED
33,35,42.3763,-72.5199,RANGE_INTERPOLATED
34,36,38.5350,-105.9920,ROOFTOP
35,37,52.3738,4.8909,APPROXIMATE
36,38,48.5193,-122.6130,RANGE_INTERPOLATED
37,39,37.7635,-122.4010,ROOFTOP
38,40,47.9775,11.1850,ROOFTOP
39,41,39.0014,-123.3560,ROOFTOP
40,42,44.3516,-69.1401,RANGE_INTERPOLATED
41,43,43.0785,-89.3820,APPROXIMATE
42,44,38.5983,-90.2090,RANGE_INTERPOLATED
43,45,40.2659,-76.8753,ROOFTOP
44,46,44.2619,-88.4154,APPROXIMATE
45,47,42.3220,-85.1851,RANGE_INTERPOLATED
46,49,53.3433,-6.2846,APPROXIMATE
47,51,35.6221,-82.5536,ROOFTOP
48,54,33.8180,-84.4353,ROOFTOP
49,55,44.3996,-68.3340,ROOFTOP
50,56,42.3372,-83.0186,ROOFTOP
51,57,44.2896,-94.4490,RANGE_INTERPOLATED
52,58,44.2896,-94.4490,RANGE_INTERPOLATED
53,59,38.5702,-90.8802,RANGE_INTERPOLATED
54,61,-37.9680,144.5250,ROOFTOP
55,62,40.0166,-105.2190,ROOFTOP
56,1394,35.6197,-78.8085,ROOFTOP
58,63,41.6124,-86.7268,RANGE_INTERPOLATED
59,64,39.5765,-106.0940,RANGE_INTERPOLATED
60,65,44.0486,-91.6774,RANGE_INTERPOLATED
61,66,44.4214,-84.1167,APPROXIMATE
62,68,32.7668,-117.1950,ROOFTOP
63,69,39.4200,-76.5400,APPROXIMATE
64,70,49.8901,10.9067,ROOFTOP
65,71,44.1636,-93.9994,APPROXIMATE
66,72,44.3875,-68.2046,RANGE_INTERPOLATED
67,73,38.9169,-94.3943,ROOFTOP
68,74,48.3979,9.9899,ROOFTOP
69,75,34.4702,-114.3500,RANGE_INTERPOLATED
70,76,41.0523,-75.3354,APPROXIMATE
71,77,40.0453,-86.0155,ROOFTOP
72,78,45.0360,-93.1984,ROOFTOP
73,79,39.9745,-83.0490,ROOFTOP
74,80,39.9719,-83.0027,ROOFTOP
75,81,36.0721,-115.0750,ROOFTOP
76,82,47.5203,-122.3120,RANGE_INTERPOLATED
77,83,39.1136,-84.5260,RANGE_INTERPOLATED
78,84,39.9767,-74.1829,RANGE_INTERPOLATED
79,85,52.8046,-1.6281,RANGE_INTERPOLATED
80,86,10.9639,-74.7964,APPROXIMATE
81,87,41.2380,-77.0103,RANGE_INTERPOLATED
82,1393,44.1004,-70.2148,APPROXIMATE
83,88,48.3952,11.7288,ROOFTOP
84,89,46.8726,-114.0200,ROOFTOP
85,90,38.2546,-85.7401,ROOFTOP
86,91,28.5383,-81.3792,APPROXIMATE
87,92,37.7694,-122.5100,ROOFTOP
88,93,51.8970,-8.4769,GEOMETRIC_CENTER
89,94,38.6112,-122.8710,RANGE_INTERPOLATED
90,96,38.8916,-121.2930,APPROXIMATE
91,97,44.4295,-68.9750,RANGE_INTERPOLATED
92,98,55.9970,-2.5098,GEOMETRIC_CENTER
93,99,17.4977,-88.1867,APPROXIMATE
94,100,42.2843,-85.4538,ROOFTOP
95,101,43.1947,-88.7290,APPROXIMATE
96,102,41.5059,-90.5171,RANGE_INTERPOLATED
97,103,52.4793,13.4293,ROOFTOP
98,104,52.5234,13.4114,APPROXIMATE
99,106,40.6220,-75.3820,RANGE_INTERPOLATED
100,107,40.1106,-88.2073,APPROXIMATE
101,108,32.3293,-96.6253,APPROXIMATE
102,109,51.5163,5.5977,RANGE_INTERPOLATED
103,110,51.5440,5.1285,RANGE_INTERPOLATED
104,111,51.1684,6.0515,RANGE_INTERPOLATED
105,112,37.7756,-122.3980,ROOFTOP
106,113,35.8104,-78.6179,ROOFTOP
107,114,45.0223,-84.6826,GEOMETRIC_CENTER
108,115,42.9634,-85.6681,APPROXIMATE
109,116,36.2426,-115.2360,ROOFTOP
110,117,45.7736,-111.1720,RANGE_INTERPOLATED
111,118,42.1511,-87.9144,ROOFTOP
112,119,49.1049,-122.6900,APPROXIMATE
113,120,49.1344,-123.0650,ROOFTOP
114,121,50.9847,-113.9560,ROOFTOP
115,122,46.9223,-114.0730,ROOFTOP
116,123,47.6576,-122.3130,ROOFTOP
117,124,45.8981,-123.9610,ROOFTOP
118,125,50.0943,8.6913,ROOFTOP
119,127,46.0597,13.2269,RANGE_INTERPOLATED
120,128,44.5153,7.8922,RANGE_INTERPOLATED
121,129,44.6601,10.2814,RANGE_INTERPOLATED
122,130,37.8634,-122.2590,ROOFTOP
123,131,49.9740,6.5227,APPROXIMATE
124,132,45.5235,-122.6760,APPROXIMATE
125,133,33.9132,-117.8890,ROOFTOP
126,135,41.8817,-87.6926,APPROXIMATE
127,136,37.2300,-80.4100,APPROXIMATE
128,137,36.1520,-86.7989,ROOFTOP
129,138,38.8339,-104.8210,APPROXIMATE
130,139,45.5325,-122.6860,APPROXIMATE
131,140,39.1716,-86.5104,RANGE_INTERPOLATED
132,141,43.0598,-89.3085,ROOFTOP
133,142,41.5118,-90.5746,RANGE_INTERPOLATED
134,143,35.0845,-106.6510,APPROXIMATE
135,144,40.7591,-73.0215,ROOFTOP
136,145,34.8531,-82.3983,ROOFTOP
137,146,38.2530,-85.6540,ROOFTOP
138,147,44.1332,-73.0784,RANGE_INTERPOLATED
139,148,53.4807,-2.2344,APPROXIMATE
140,149,35.1584,-114.5730,ROOFTOP
141,150,34.0532,-118.2560,ROOFTOP
142,151,42.4311,-83.4833,APPROXIMATE
143,152,13.7783,100.5090,GEOMETRIC_CENTER
144,153,35.3733,-119.0190,APPROXIMATE
145,155,35.0868,-89.8101,APPROXIMATE
146,156,52.6739,14.9004,RANGE_INTERPOLATED
147,157,42.3144,-71.1034,ROOFTOP
148,158,42.3470,-71.0989,ROOFTOP
149,159,42.8666,-109.8660,RANGE_INTERPOLATED
150,160,40.0267,-105.2480,ROOFTOP
151,161,39.0821,-94.5965,ROOFTOP
152,162,48.7475,-122.4810,RANGE_INTERPOLATED
153,163,45.4289,-73.6313,APPROXIMATE
154,164,49.7185,5.5571,RANGE_INTERPOLATED
155,165,50.4852,2.8306,APPROXIMATE
156,166,50.8431,3.6077,RANGE_INTERPOLATED
157,167,50.1507,5.7442,RANGE_INTERPOLATED
158,168,50.5593,4.1365,GEOMETRIC_CENTER
159,170,50.3693,3.8270,GEOMETRIC_CENTER
160,171,50.5109,3.3883,RANGE_INTERPOLATED
161,173,49.9842,4.3111,RANGE_INTERPOLATED
162,174,50.3705,3.7263,RANGE_INTERPOLATED
163,175,50.7046,5.8220,GEOMETRIC_CENTER
164,176,50.7853,4.2437,RANGE_INTERPOLATED
165,177,50.7975,2.5412,RANGE_INTERPOLATED
166,178,50.2248,4.4102,APPROXIMATE
167,179,50.6493,3.9242,ROOFTOP
168,180,-17.6797,-149.4070,APPROXIMATE
169,182,45.7075,5.9153,RANGE_INTERPOLATED
170,183,47.2543,7.0026,ROOFTOP
171,184,50.6204,3.7592,GEOMETRIC_CENTER
172,185,48.0028,6.6583,GEOMETRIC_CENTER
173,186,32.3906,-93.3739,RANGE_INTERPOLATED
174,187,50.3114,4.9435,RANGE_INTERPOLATED
175,188,50.5779,3.5554,RANGE_INTERPOLATED
176,189,50.5718,3.6508,RANGE_INTERPOLATED
177,190,50.3089,3.6285,APPROXIMATE
178,191,50.7428,3.6875,RANGE_INTERPOLATED
179,192,50.2860,5.5127,RANGE_INTERPOLATED
180,193,50.6054,3.0775,APPROXIMATE
181,194,50.4080,4.1659,RANGE_INTERPOLATED
182,195,50.2024,4.8914,RANGE_INTERPOLATED
183,196,50.2601,3.3125,RANGE_INTERPOLATED
184,197,50.6746,4.1509,RANGE_INTERPOLATED
185,198,45.4682,-73.5913,ROOFTOP
186,199,42.6483,9.4529,GEOMETRIC_CENTER
187,200,50.8851,2.4329,ROOFTOP
188,201,50.3682,4.3266,RANGE_INTERPOLATED
189,202,50.8416,4.3355,ROOFTOP
190,203,48.5930,7.7149,RANGE_INTERPOLATED
191,204,47.6715,9.5888,ROOFTOP
192,205,47.9706,11.7808,ROOFTOP
193,206,53.0787,8.7901,ROOFTOP
194,207,51.3055,8.1259,GEOMETRIC_CENTER
195,208,49.8942,10.8855,APPROXIMATE
196,209,49.9477,11.5659,ROOFTOP
197,210,48.2351,13.8292,ROOFTOP
198,211,47.3625,15.0947,ROOFTOP
