brewery_id,name,cat_id,style_id,abv,brewery_name,latitude,longitude
1,(512) Pale,North American Ale,American-Style Pale Ale,5.8,(512) Brewing Company,30.2234,-97.7697
1,(512) Bruin,North American Ale,American-Style Brown Ale,7.6,(512) Brewing Company,30.2234,-97.7697
1,(512) Whiskey Barrel Aged Double Pecan Porter,Irish Ale,Porter,8.2,(512) Brewing Company,30.2234,-97.7697
1,One,Belgian and French Ale,Belgian-Style Pale Strong Ale,8.0,(512) Brewing Company,30.2234,-97.7697
1,(512) IPA,North American Ale,American-Style India Pale Ale,7.0,(512) Brewing Company,30.2234,-97.7697
1,(512) ALT,German Ale,German-Style Brown Ale/Altbier,6.0,(512) Brewing Company,30.2234,-97.7697
1,(512) Pecan Porter,Irish Ale,Porter,6.8,(512) Brewing Company,30.2234,-97.7697
1,(512) Wit,Belgian and French Ale,Belgian-Style White,5.2,(512) Brewing Company,30.2234,-97.7697
2,Amendment Pale Ale,North American Ale,American-Style Pale Ale,5.2,21st Amendment Brewery Cafe,37.7825,-122.393
2,North Star Red,North American Ale,American-Style Amber/Red Ale,5.8,21st Amendment Brewery Cafe,37.7825,-122.393
2,Bitter American,British Ale,Special Bitter or Best Bitter,3.6,21st Amendment Brewery Cafe,37.7825,-122.393
2,South Park Blonde,North American Ale,Golden or Blonde Ale,5.0,21st Amendment Brewery Cafe,37.7825,-122.393
2,General Pippo's Porter,Irish Ale,Porter,5.5,21st Amendment Brewery Cafe,37.7825,-122.393
2,21A IPA,North American Ale,American-Style India Pale Ale,7.2,21st Amendment Brewery Cafe,37.7825,-122.393
2,Oyster Point Oyster Stout,North American Ale,American-Style Stout,5.9,21st Amendment Brewery Cafe,37.7825,-122.393
2,Potrero ESB,British Ale,Special Bitter or Best Bitter,5.2,21st Amendment Brewery Cafe,37.7825,-122.393
2,Watermelon Wheat,Belgian and French Ale,Belgian-Style Fruit Lambic,5.5,21st Amendment Brewery Cafe,37.7825,-122.393
2,563 Stout,North American Ale,American-Style Stout,5.0,21st Amendment Brewery Cafe,37.7825,-122.393
2,Double Trouble IPA,North American Ale,Imperial or Double India Pale Ale,9.8,21st Amendment Brewery Cafe,37.7825,-122.393
3,Drie Fonteinen Kriek,Belgian and French Ale,Belgian-Style Fruit Lambic,5.0,3 Fonteinen Brouwerij Ambachtelijke Geuzestekerij,50.7668,4.3081
3,Oude Geuze,Belgian and French Ale,Belgian-Style Fruit Lambic,6.0,3 Fonteinen Brouwerij Ambachtelijke Geuzestekerij,50.7668,4.3081
4,Classic Special Brew,North American Lager,American-Style Lager,0.0,Aass Brewery,59.7451,10.2135
4,JuleÃ¸l,North American Ale,Dark American-Belgo-Style Ale,5.9,Aass Brewery,59.7451,10.2135
4,Bock Beer,German Lager,Traditional German-Style Bock,5.9,Aass Brewery,59.7451,10.2135
4,Gull Classic,North American Lager,American-Style Lager,5.5,Aass Brewery,59.7451,10.2135
4,Genuine Pilsner,German Lager,German-Style Pilsener,5.5,Aass Brewery,59.7451,10.2135
5,Brune (Brown),Other,Other,6.8,Abbaye de Leffe,50.2606,4.9122
5,Leffe Blonde,North American Ale,Golden or Blonde Ale,6.6,Abbaye de Leffe,50.2606,4.9122
6,8,Belgian and French Ale,Belgian-Style Dubbel,8.0,Abbaye de Maredsous,50.3093,4.7646
6,10,Belgian and French Ale,Belgian-Style Tripel,10.0,Abbaye de Maredsous,50.3093,4.7646
6,6,North American Ale,Golden or Blonde Ale,6.0,Abbaye de Maredsous,50.3093,4.7646
7,Rochefort 8,Other,Other,9.2,Abbaye Notre Dame du St Remy,50.1999,5.2277
7,Rochefort 10,Belgian and French Ale,Belgian-Style Quadrupel,11.3,Abbaye Notre Dame du St Remy,50.1999,5.2277
7,Rochefort 6,North American Ale,Dark American-Belgo-Style Ale,7.5,Abbaye Notre Dame du St Remy,50.1999,5.2277
9,Scottish Ale,Other,Other,4.8,Aberdeen Brewing,41.4392,-87.1078
10,Abbey Ale,British Ale,Classic English-Style Pale Ale,0.0,Abita Brewing Company,30.5049,-89.944
10,Wheat,German Lager,Vienna-Style Lager,0.0,Abita Brewing Company,30.5049,-89.944
10,Triple Citra Hopped Satsuma Wit,Other Style,Fruit Beer,0.0,Abita Brewing Company,30.5049,-89.944
10,Fall Fest,German Lager,German-Style Oktoberfest,0.0,Abita Brewing Company,30.5049,-89.944
10,Honey Rye Ale,Other Style,Specialty Honey Lager or Ale,0.0,Abita Brewing Company,30.5049,-89.944
10,Strawberry Harvest Lager,Other Style,Fruit Beer,0.0,Abita Brewing Company,30.5049,-89.944
10,Abita Purple Haze,Other Style,Light American Wheat Ale or Lager,4.8,Abita Brewing Company,30.5049,-89.944
10,Turbodog,North American Ale,Dark American-Belgo-Style Ale,0.0,Abita Brewing Company,30.5049,-89.944
10,Abita Light Beer,North American Lager,American-Style Light Lager,0.0,Abita Brewing Company,30.5049,-89.944
10,Abita Golden,North American Lager,American-Style Lager,0.0,Abita Brewing Company,30.5049,-89.944
10,S.O.S,German Lager,German-Style Pilsener,0.0,Abita Brewing Company,30.5049,-89.944
10,Abita Amber,German Lager,Vienna-Style Lager,0.0,Abita Brewing Company,30.5049,-89.944
10,Christmas Ale,North American Ale,American-Style Brown Ale,5.5,Abita Brewing Company,30.5049,-89.944
10,Andygator,German Lager,German-Style Doppelbock,8.0,Abita Brewing Company,30.5049,-89.944
10,Purple Haze,Other Style,Light American Wheat Ale or Lager,0.0,Abita Brewing Company,30.5049,-89.944
10,Strawberry,Other Style,Fruit Beer,0.0,Abita Brewing Company,30.5049,-89.944
