State,Craft Breweries,Craft Breweries Rank
Alabama,13,40
Alaska,22,31
Arizona,47,19
Arkansas,13,40
California,381,1
Colorado,175,4
Connecticut,23,30
Delaware,10,44
District of Columbia,9,46
Florida,66,13
Georgia,28,28
Hawaii,8,47
Idaho,34,24
Illinois,83,11
Indiana,63,14
Iowa,40,21
Kansas,20,35
Kentucky,15,39
Louisiana,11,43
Maine,47,19
Maryland,34,24
Massachusetts,57,16
Michigan,131,6
Minnesota,52,17
Mississippi,4,51
Missouri,49,18
Montana,39,22
Nebraska,22,31
Nevada,22,31
New Hampshire,22,31
New Jersey,26,19
New Mexico,31,26
New York,165,5
North Carolina,91,9
North Dakota,6,50
Ohio,76,12
Oklahoma,13,40
Oregon,181,3
Pennsylvania,108,7
Rhode Island,8,47
South Carolina,20,35
South Dakota,10,44
Tennessee,35,23
Texas,96,8
Utah,16,38
Vermont,29,27
Virginia,61,15
Washington,201,2
West Virginia,7,49
Wisconsin,90,10
Wyoming,18,37
